col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,brand_0,brand_1,brand_2,brand_3,brand_4,brand_5,brand_6,brand_7,price,available,sold,price_boxcox,update_month,update_day,revenue,state_0,state_1,state_2,state_3,state_4,state_5,state_6,price_scaled,sold_robust,available_robust,type_Body Care,type_Body Mist,type_Cologne,type_Eau de Parfum,type_Eau de Toilette,type_Extrait de Parfum,type_Gift Set,type_Others,type_Perfume Spray,country_Bulgaria,country_Canada,country_China,country_Estados Unidos,country_Hong Kong,country_India,country_Japan,country_Pakistan,country_Taiwan,country_United States
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,39.69,10,234,3.6720670100970505,5,24,9287.46,0,0,0,0,0,1,0,0.3048332441822926,0.7530864197530864,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,59.99,6,34,4.069010200941217,5,22,2039.66,0,0,0,0,1,1,1,0.9604568404909547,-0.06995884773662552,-0.8,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,59.99,1,43,4.069010200941217,5,23,2579.57,0,0,0,0,1,0,0,0.9604568404909547,-0.03292181069958848,-1.8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,11.0,10,1613,2.4696279665090377,4,5,17743.0,0,0,0,0,1,0,0,-1.6812126895508634,6.42798353909465,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,27.0,10,218,3.304768495626428,3,20,5886.0,0,0,0,1,0,0,0,-0.3018267981878424,0.6872427983539094,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29.99,10,1,3.4045372414132093,5,8,29.99,0,0,0,1,0,0,1,-0.1370406388061252,-0.205761316872428,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.27,300,38,2.8288993620328067,5,24,618.26,0,0,0,1,0,1,0,-1.0878108884437698,-0.053497942386831275,58.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,54.95,1,25,3.98448456816642,5,24,1373.75,0,0,0,0,1,0,0,0.8208474439366914,-0.10699588477366255,-1.8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,49.99,6,183,3.8934726423156056,5,23,9148.17,0,0,0,0,0,1,1,0.670524759205935,0.5432098765432098,-0.8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,84.99,4,71,4.405298368493831,5,22,6034.29,0,0,0,1,0,1,1,1.5158976765914813,0.0823045267489712,-1.2,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,39.99,8,126,3.6792786124863026,5,24,5038.740000000001,0,0,0,0,0,1,1,0.3167445120983249,0.30864197530864196,-0.4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,53.99,0,54,3.967519425559161,5,24,2915.46,0,0,0,0,0,1,1,0.7928264372419905,0.012345679012345678,-2.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,99.99,4,29,4.562506254650309,5,23,2899.71,0,0,0,1,0,1,1,1.7755549828946795,-0.09053497942386832,-1.2,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,40.92,10,1571,3.701302116102851,5,24,64285.32,0,0,0,0,0,1,0,0.3531203184541186,6.255144032921811,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,22.9,10,291,3.1489811792086555,5,8,6663.9,0,0,0,0,0,1,0,-0.5591377761942473,0.9876543209876543,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,42.0,4,406,3.726269767507821,5,23,17052.0,0,0,0,1,1,0,0,0.39435891829178127,1.4609053497942386,-1.2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,44.88,7,147,3.7898882955540736,5,20,6597.360000000001,0,0,0,1,1,0,1,0.4994364435186143,0.3950617283950617,-0.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,66.99,10,3,4.175435325712371,5,23,200.96999999999997,0,0,0,0,0,1,0,1.1362372157423204,-0.19753086419753085,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,129.99,5,37,4.816544624003344,5,24,4809.63,0,0,0,1,1,1,0,2.195145375568807,-0.05761316872427984,-1.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22.99,10,11,3.1526809487087952,5,24,252.89,0,0,0,1,1,1,1,-0.5530269365548618,-0.1646090534979424,0.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12.0,10,59,2.548672674577718,5,8,708.0,0,0,0,0,1,0,0,-1.550656033161457,0.03292181069958848,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,32.95,10,68,3.4941979014408777,5,17,2240.6000000000004,0,0,0,0,1,0,0,0.01105018560059894,0.06995884773662552,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,31.05,9,54,3.4375981061317598,5,23,1676.7,0,0,0,0,0,1,1,-0.08243463088405044,0.012345679012345678,-0.2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,32.2,60,157,3.4722455803914785,5,17,5055.400000000001,0,0,0,0,1,0,1,-0.025208049848966265,0.43621399176954734,10.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
